topic id,Connected nodes
176,[ 40   2  47  17  53  91 158  61]
209,[2]
3290,[ 805 6431]
178,[49 16  1  9 13  3  2]
1933,[   0  188  255   72  283 3491 2075]
179,[ 1 49  0]
212,[ 1  7 23 35]
194,"[  11   16   12    9    1    4   13   37    8   23    2   53  158   14
  173  164    7   54   19  132   67  161   29  279  108  263    0  255
  266   84  288 2889 9679 9842 9149 1558]"
185,[50 47  9  2  8]
191,[  9  12   5   7   4  23  14  13  56  85  86 168  16   0]
182,[49 16  1]
1898,"[6260   85    4  130    0 1109   28    7 1558  288 1066   67 2275  255
  269   13 2144   49 2678  274 2256 2037  857    1 3721  101  326 4772
   68 1986 2082 6134 6122 6151 6165  132 5805   35   56 2306 6117 6266
  168    3 6359  353 7481 7496 8009 6113 7600 7903 7508 9801 9510 9792]"
183,[  14   16   47    7    2    5    1    4   49   29 6712]
184,[23 47 16  7 49  1 37]
197,[ 0 16 35 11 49  9 37]
190,[  49    1    7    5  304 1080 9446 9393]
282,[13 23 16 49  9 19 73]
207,[  40    1    2    7 9636  288 6113]
206,[40  1]
268,[65 13 16 61  9 53 40 35]
192,[ 9 49 16 13  7 23]
193,"[  12    1   11   49    3   81   16   64   79   91   84   13    7  111
  164  146  161  130  191   67    9  184   23 2336 6209   25]"
1891,[ 274  326 1109    7]
195,[23 11  5  7  0 63 73]
210,[0]
196,"[ 49  23  16   0   7   9   3  14   2   1  11  13  12  55  62  67   4   5
  68  81  53  54  85 108 114 164 130  43]"
198,[ 0 11 49  2  9  1 65 64 91 67]
513,"[  9 114  91  40  72  61  29   4  16  94   2  14  54  67  64  49 108 112
 131 133 132 158 142 164 183 279]"
608,[150   7]
1091,[281 246 227  16]
202,[29  0  7 14  2]
1012,[  53  132    1   49  130 2243]
213,"[  44    2    4   49   29    0   19    5    7    8   67   79    1   72
   84   64  132  151  158  167  164  173  175  130  183  184 6209 6207
 6208]"
1871,"[1109  130 2392 2099  288 1209  861 2288  158    2  208 2082 2306  100
  161   67  131 2243   16  132   35  101  188   44]"
4549,[7636 3721]
1573,"[ 132 1104  188  131   67   16  958   72  161  158  364  805   14  281
  368   37]"
214,[49  9 12]
1936,[2678 2306   16  161   85   67   44  158]
216,"[  49    2   11    5   16    3   44    9    4    1   22   12    6   19
    8    0   56   14  164  182  132   29  114  130  142   54  108   67
  206   72  204  101  125   28  146   25  161  255 2099 2243  288 2288
 1793 2037   50 2351  274 9475 9263 1558 4151 9112 8232 7346 9531 9548
 9568 9174 9492 9555]"
403,[ 85  89  67   4   2 101   0 190  23   7 161]
215,[ 17   9  85  67  68 236  84  14 161]
374,[ 85  11  86   5   2  43 174   7 326]
217,[54 16  8  1 14  9 22 35  3 49 29 37]
270,[ 7 35  5  1  4]
218,[55  1 54 14  9 35  7]
220,[  1  16   0  73 158 130]
219,[55 23 13 73]
221,[49  3  1  9 35  7  5]
254,[61  7 16  5 40  9 37 64 23 49  2  4  0 53 14]
225,"[ 49   9   7  85 112 108 114  84   4  13 142 140   2   3 130 144   0  91
 158  64 159 132]"
227,[ 40  14   9   3  12  20  23  49  35 281]
295,[ 23  49  16   9  67   1  64 152 108 146 130 159 101 164   7 158 206]
294,[23 16  5  9]
241,[35  7]
228,[19  9]
3741,[6254  991]
1663,[  0 130 293  14  67 317 281 158  25   7 255]
356,"[ 84  40  49   9  56   3  79  64   5  14  16   7  23  65 146 108 152 164
 158  61 142 161]"
324,[68 67]
609,[ 17  61  16 142  67 130 143   7  91  14 144   8   9 108 157  64 158 279]
638,[ 161    7   61  140   91  159  158   35  335    0 6249]
